"Comunidad","Provincia","Población","Latitud","Longitud","Habitantes","Hombres","Mujeres","Altitud","Annual_Mean_Temperature","Mean_Diurnal_Range","Isothermality","Temperature_Seasonality","Max_Temperature_of_Warmest_Month","Min_Temperature_of_Coldest_Month","Temperature_Annual_Range","Mean_Temperature_of_Wettest_Quarter","Mean_Temperature_of_Driest_Quarter","Mean_Temperature_of_Warmest_Quarter","Mean_Temperature_of_Coldest_Quarter","Annual_Precipitation","Precipitation_of_Wettest_Month","Precipitation_of_Driest_Month","Precipitation_Seasonality","Precipitation_of_Wettest_Quarter","Precipitation_of_Driest_Quarter","Precipitation_of_Warmest_Quarter","Precipitation_of_Coldest_Quarter"
"Andalucía","Almería","Lucainena de las Torres",37.04179,-2.200706,690,386,304,533.8752,208,121,72,1282,296,130,166,217,191,222,188,561,121,2,81,254,8,251,13
"Andalucía","Almería","Lúcar",37.39965,-2.427074,872,435,437,901.753,216,121,72,1380,306,139,167,222,198,231,195,652,135,2,83,272,13,270,17
"Andalucía","Almería","Macael",37.33229,-2.304892,6168,3174,2994,538.7327,213,122,73,1345,302,135,167,218,195,228,192,636,136,1,82,270,10,258,15
"Andalucía","Almería","María",3.77111,-2.165795,1464,735,729,1196.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andalucía","Almería","Mojácar",37.13995,-1.851328,7581,3822,3759,165.0597,195,122,73,1276,282,115,167,204,178,209,175,555,139,2,87,274,9,254,13
"Andalucía","Almería","Mojonera (La)",36.75254,-2.688159,8301,4512,3789,41.25403,203,116,70,1407,291,127,164,216,184,217,181,602,143,1,84,296,9,202,10
"Andalucía","Almería","Nacimiento",37.10497,-2.64774,482,254,228,596.8992,214,120,71,1417,305,138,167,221,196,229,193,648,148,4,79,305,16,189,22
"Andalucía","Almería","Níjar",36.96576,-2.20651,26516,14653,11863,353.1248,209,121,73,1277,296,131,165,217,192,222,189,543,123,1,82,254,6,251,10
"Andalucía","Almería","Ohanes",37.03723,-2.745168,776,382,394,953.4253,213,119,71,1464,304,138,166,220,194,229,191,643,153,4,81,314,16,188,22
"Andalucía","Almería","Olula de Castro",37.17611,-2.476297,207,106,101,1054.839,214,121,72,1371,304,137,167,222,196,229,193,625,130,2,79,272,12,184,17
"Andalucía","Almería","Olula del Río",37.35212,-2.298121,6699,3466,3233,486.5961,212,122,73,1324,300,134,166,216,194,226,191,669,153,1,85,295,10,264,15
"Andalucía","Almería","Oria",37.48503,-2.295018,2898,1519,1379,1038.982,216,123,73,1345,305,137,168,221,198,231,195,669,158,1,88,304,10,261,14
"Andalucía","Almería","Padules",36.99884,-2.773482,491,248,243,745.1029,211,118,71,1469,303,137,166,218,192,227,190,631,153,4,81,313,17,186,22
"Andalucía","Almería","Partaloa",37.40604,-2.226434,872,437,435,548.585,213,123,73,1320,302,134,168,218,196,228,193,674,157,1,85,297,10,265,15
"Andalucía","Almería","Paterna del Río",37.02088,-2.953087,448,250,198,1201.81,187,112,69,1516,275,114,161,194,167,204,165,755,160,6,77,337,23,222,27
"Andalucía","Almería","Pechina",36.91667,-2.440625,3690,1873,1817,107.5108,210,119,72,1356,298,133,165,217,192,224,189,592,131,1,81,274,8,191,11
"Andalucía","Almería","Pulpí",37.41183,-1.745502,8182,4363,3819,194.9947,195,128,74,1280,284,112,172,199,178,209,175,953,229,5,89,420,21,370,25
"Andalucía","Almería","Purchena",37.34855,-2.36155,1736,880,856,540.9984,214,122,73,1364,304,137,167,220,197,229,194,654,142,2,84,282,11,264,16
"Andalucía","Almería","Rágol",36.99564,-2.680989,361,179,182,404.8323,213,119,71,1440,303,137,166,220,194,228,191,617,147,3,81,302,14,187,19
"Andalucía","Almería","Rioja",36.94406,-2.462424,1389,702,687,133.2092,210,119,72,1356,298,133,165,217,192,224,189,592,131,1,81,274,8,191,11
"Andalucía","Almería","Roquetas de Mar",36.76427,-2.614935,82665,43095,39570,11.84886,208,118,71,1403,297,132,165,222,190,223,187,603,143,1,84,295,9,203,11
"Andalucía","Almería","Santa Cruz de Marchena",3.70172,-2.603768,232,119,113,328.9739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andalucía","Almería","Santa Fe de Mondújar",36.97506,-2.530279,485,246,239,210.5975,213,119,71,1395,303,136,167,220,195,228,192,599,136,2,81,283,11,190,14
