animal_id,binomial,Order,family,genus,species,IUCN.Status,terrestrial,marine,freshwater,aerial,Life.Habit.Method,Mass.g,Mass.Method,Island.Endemicity,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Genus.1.1,Species.1.1,Genus.1.0,Species.1.0,EltonTraits.1.0.Genus,EltonTraits.1.0.Species,IUCN.2016.3.Genus,IUCN.2016.3.Species
3742,Euneomys_chinchilloides,Rodentia,Cricetidae,Euneomys,chinchilloides,DD,t,f,f,f,Reported,88,Reported,Occurs on mainland,100,0,0,Reported 000 Species,Euneomys,chinchilloides,Euneomys,chinchilloides,Euneomys,chinchilloides,Euneomys,chinchilloides
3743,Euneomys_fossor,Rodentia,Cricetidae,Euneomys,fossor,DD,t,f,f,f,Reported,83,Reported,Occurs on mainland,100,0,0,Reported 000 Species,Euneomys,fossor,Euneomys,fossor,Euneomys,fossor,Euneomys,fossor
3744,Euneomys_mordax,Rodentia,Cricetidae,Euneomys,mordax,LC,t,f,f,f,Reported,82,Reported,Occurs on mainland,100,0,0,Reported 000 Species,Euneomys,mordax,Euneomys,mordax,Euneomys,mordax,Euneomys,mordax
3745,Euneomys_petersoni,Rodentia,Cricetidae,Euneomys,petersoni,LC,t,f,f,f,Reported,83,Reported,Occurs on mainland,100,0,0,Reported 000 Species,Euneomys,petersoni,Euneomys,petersoni,Euneomys,petersoni,Euneomys,petersoni
3746,Euryoryzomys_emmonsae,Rodentia,Cricetidae,Euryoryzomys,emmonsae,DD,t,f,f,f,Reported,72,Reported,Occurs on mainland,57,14,29,Transformed 000 Genus,Euryoryzomys,emmonsae,Euryoryzomys,emmonsae,Oryzomys,emmonsae,Euryoryzomys,emmonsae
3747,Euryoryzomys_lamia,Rodentia,Cricetidae,Euryoryzomys,lamia,EN,t,f,f,f,Reported,61,Reported,Occurs on mainland,80,0,20,Reported 000 Species,Euryoryzomys,lamia,Euryoryzomys,lamia,Oryzomys,lamia,Euryoryzomys,lamia
3748,Euryoryzomys_legatus,Rodentia,Cricetidae,Euryoryzomys,legatus,LC,t,f,f,f,Reported,62,Reported,Occurs on mainland,80,0,20,Reported 000 Species,Euryoryzomys,legatus,Euryoryzomys,legatus,Oryzomys,legatus,Euryoryzomys,legatus
3749,Euryoryzomys_macconnelli,Rodentia,Cricetidae,Euryoryzomys,macconnelli,LC,t,f,f,f,Reported,58,Reported,Occurs on mainland,80,0,20,Reported 000 Species,Euryoryzomys,macconnelli,Euryoryzomys,macconnelli,Oryzomys,macconnelli,Euryoryzomys,macconnelli
3750,Euryoryzomys_nitidus,Rodentia,Cricetidae,Euryoryzomys,nitidus,LC,t,f,f,f,Reported,55,Reported,Occurs on mainland,80,0,20,Reported 000 Species,Euryoryzomys,nitidus,Euryoryzomys,nitidus,Oryzomys,nitidus,Euryoryzomys,nitidus
3751,Euryoryzomys_russatus,Rodentia,Cricetidae,Euryoryzomys,russatus,LC,t,f,f,f,Reported,61,Reported,Occurs on mainland,80,0,20,Reported 000 Species,Euryoryzomys,russatus,Euryoryzomys,russatus,Oryzomys,russatus,Euryoryzomys,russatus
3752,Galenomys_garleppi,Rodentia,Cricetidae,Galenomys,garleppi,DD,t,f,f,f,Reported,59,Reported,Occurs on mainland,100,0,0,Transformed 000 Species,Galenomys,garleppi,Galenomys,garleppi,Galenomys,garleppi,Galenomys,garleppi
3753,Geoxus_valdivianus,Rodentia,Cricetidae,Geoxus,valdivianus,LC,t,f,f,f,Reported,32,Reported,Occurs on mainland,0,0,100,Reported 000 Species,Geoxus,valdivianus,Geoxus,valdivianus,Geoxus,valdivianus,Geoxus,valdivianus
3754,Graomys_centralis,Rodentia,Cricetidae,Graomys,centralis,DD,t,f,f,f,Reported,80,Reported,Occurs on mainland,100,0,0,Transformed 000 Genus,Graomys,centralis,Graomys,centralis,Graomys,centralis,Graomys,centralis
3755,Graomys_domorum,Rodentia,Cricetidae,Graomys,domorum,LC,t,f,f,f,Reported,102,Reported,Occurs on mainland,100,0,0,Reported 000 Species,Graomys,domorum,Graomys,domorum,Graomys,domorum,Graomys,domorum
3756,Graomys_edithae,Rodentia,Cricetidae,Graomys,edithae,DD,t,f,f,f,Reported,40,Reported,Occurs on mainland,100,0,0,Reported 000 Species,Graomys,edithae,Graomys,edithae,Graomys,edithae,Graomys,edithae
3757,Graomys_griseoflavus,Rodentia,Cricetidae,Graomys,griseoflavus,LC,t,f,f,f,Reported,68,Reported,Occurs on mainland,100,0,0,Reported 000 Species,Graomys,griseoflavus,Graomys,griseoflavus,Graomys,griseoflavus,Graomys,griseoflavus
